Stored State Points:
state    T (deg C)      p (bar)    d (kg/m3)    h (kJ/kg)  s (kJ/kg/K)
  135       29.358        7.561      200.896      268.112        1.231
  136       28.503        7.376      190.267      268.112        1.231
  137       27.653        7.196      180.425      268.112        1.231
  138       26.809        7.020      171.292      268.112        1.232
  139       25.970        6.848      162.800      268.112        1.232
  140       25.135        6.681      154.886      268.112        1.232
  141       24.306        6.517      147.498      268.112        1.233
  142       23.482        6.358      140.590      268.112        1.233
  143       22.663        6.203      134.118      268.112        1.234
  144       21.849        6.051      128.047      268.112        1.234
  145       21.039        5.903      122.344      268.112        1.234
  146       20.235        5.759      116.978      268.112        1.235
  147       19.435        5.618      111.923      268.112        1.235
  148       18.640        5.481      107.155      268.112        1.236
  149       17.850        5.347      102.654      268.112        1.236
  150       17.850        5.347      102.654      268.112        1.236
  151       17.850        5.347       96.445      271.178        1.247
  152       17.850        5.347       90.944      274.244        1.257
  153       17.850        5.347       86.037      277.310        1.268
  154       17.850        5.347       81.632      280.376        1.278
  155       17.850        5.347       77.656      283.442        1.289
  156       17.850        5.347       74.050      286.508        1.299
  157       17.850        5.347       70.764      289.574        1.310
  158       17.850        5.347       67.757      292.640        1.320
  159       17.850        5.347       64.995      295.706        1.331
  160       17.850        5.347       62.449      298.772        1.341
  161       17.850        5.347       60.096      301.837        1.352
  162       17.850        5.347       57.913      304.903        1.362
  163       17.850        5.347       55.883      307.969        1.373
  164       17.850        5.347       53.991      311.035        1.384
  165       17.850        5.347       52.223      314.101        1.394
  166       17.850        5.347       50.567      317.167        1.405
  167       17.850        5.347       49.012      320.233        1.415
  168       17.850        5.347       47.551      323.299        1.426
  169       17.850        5.347       46.174      326.365        1.436
  170       17.850        5.347       44.874      329.431        1.447
  171       17.850        5.347       43.646      332.497        1.457
  172       17.850        5.347       42.483      335.563        1.468
  173       17.850        5.347       41.381      338.629        1.478
  174       17.850        5.347       40.334      341.695        1.489
  175       17.850        5.347       39.339      344.761        1.499
  176       17.850        5.347       38.392      347.827        1.510
  177       17.850        5.347       37.489      350.893        1.521
  178       17.850        5.347       36.628      353.959        1.531
  179       17.850        5.347       35.805      357.025        1.542
  180       17.850        5.347       35.019      360.091        1.552
  181       17.850        5.347       34.266      363.157        1.563
  182       17.850        5.347       33.546      366.223        1.573
  183       17.850        5.347       32.854      369.289        1.584
  184       17.850        5.347       32.191      372.355        1.594
  185       17.850        5.347       31.554      375.421        1.605
  186       17.850        5.347       30.942      378.487        1.615
  187       17.850        5.347       30.353      381.553        1.626
  188       17.850        5.347       29.786      384.619        1.636
  189       17.850        5.347       29.240      387.685        1.647
  190       17.850        5.347       28.713      390.751        1.657
  191       17.850        5.347       28.205      393.817        1.668
  192       17.850        5.347       27.715      396.882        1.679
  193       17.850        5.347       27.241      399.948        1.689
  194       17.850        5.347       26.784      403.014        1.700
  195       17.850        5.347       26.341      406.080        1.710
  196       18.395        5.347       25.905      409.146        1.721
  197       21.521        5.347       25.449      412.212        1.731
  198       24.675        5.347       25.015      415.278        1.742
  199       27.850        5.347       24.601      418.344        1.752

